MATCH_EVENT_ID,TEAM_NAME,GAME_SEASON,DATE_OF_GAME,IS_KNOCKOUT_MATCH,HOME_OR_AWAY,LAT_LONG,LOCATION_X,LOCATION_Y,SHOT_DISTANCE,AREA_OF_SHOT,RANGE_OF_SHOT,SHOT_TYPE,SHOT_POWER,SHOT_BASICS,REMAINING_MINUTES,REMAINING_SECONDS,TOTAL_SECONDS_REMAINING,IS_GOAL
33.0,Manchester United,2000-01,2000-11-07,0,MANU @ HOU,"29.740325, -95.365762",0.0,0.0,20,Unknown,Less Than 8 ft.,shot - 4,1,Goal Area,7,53,473,1
186.0,Manchester United,2000-01,2000-11-07,0,MANU @ HOU,"29.740325, -95.365762",51.0,57.0,27,Center(C),Less Than 8 ft.,shot - 0,2,Unknown,2,40,160,0
236.0,Manchester United,2000-01,2000-11-07,0,MANU @ HOU,"29.740325, -95.365762",-84.0,110.0,33,Left Side(L),8-16 ft.,shot - 36,3,Mid Range,7,24,444,0
306.0,Manchester United,2000-01,2000-11-07,0,MANU @ HOU,"29.740325, -95.365762",-71.0,42.0,28,Left Side(L),8-16 ft.,shot - 2,3,Goal Line,0,1,1,0
368.0,Manchester United,2000-01,2000-11-07,0,MANU @ HOU,"29.740325, -95.365762",30.0,133.0,33,Center(C),8-16 ft.,shot - 20,4,Goal Line,5,1,301,1
425.0,Manchester United,2000-01,2000-11-07,0,MANU @ HOU,"29.740325, -95.365762",1.0,156.0,35,Center(C),8-16 ft.,shot - 3,4,Mid Range,0,46,46,0
70.0,Manchester United,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",140.0,76.0,35,Right Side(R),8-16 ft.,shot - 3,1,Mid Range,2,24,144,1
,Manchester United,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",-1.0,156.0,35,Center(C),8-16 ft.,shot - 3,1,Mid Range,1,25,85,1
115.0,Manchester United,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",132.0,87.0,35,Right Side(R),8-16 ft.,shot - 49,2,Unknown,9,37,577,0
184.0,Manchester United,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",-58.0,251.0,45,Center(C),24+ ft.,shot - 3,2,Penalty Spot,3,50,230,1
241.0,Unknown,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",24.0,150.0,35,Center(C),8-16 ft.,shot - 0,3,Mid Range,9,20,560,0
253.0,Manchester United,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",-1.0,0.0,20,Center(C),Less Than 8 ft.,shot - 1,3,Goal Area,7,53,473,1
262.0,Manchester United,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",119.0,133.0,37,Right Side Center(RC),16-24 ft.,shot - 54,3,Unknown,6,40,400,1
300.0,Unknown,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",119.0,19.0,32,Right Side(R),Unknown,shot - 15,3,Mid Range,3,0,180,0
314.0,Manchester United,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",-193.0,42.0,39,Left Side(L),16-24 ft.,shot - 3,3,Mid Range,0,48,48,0
322.0,Manchester United,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",-166.0,55.0,37,Left Side(L),16-24 ft.,shot - 3,3,Mid Range,0,21,21,0
339.0,Manchester United,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",24.0,116.0,31,Center(C),8-16 ft.,shot - 3,4,Goal Line,10,39,639,0
365.0,Manchester United,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",-65.0,156.0,36,Left Side Center(LC),16-24 ft.,shot - 3,4,Mid Range,7,8,428,0
370.0,Manchester United,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",-166.0,26.0,36,Left Side(L),16-24 ft.,shot - 3,4,Mid Range,6,25,385,1
379.0,Manchester United,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",-58.0,76.0,29,Left Side(L),8-16 ft.,shot - 3,4,Goal Line,5,14,314,0
395.0,Manchester United,2000-01,2000-11-08,0,MANU @ SAS,"29.444994, -98.524120",-37.0,70.0,27,Center(C),Less Than 8 ft.,shot - 3,4,Goal Line,3,38,218,0
135.0,Manchester United,2000-01,2000-11-12,0,Unknown,"42.982923, -71.446094",85.0,141.0,36,Right Side Center(RC),16-24 ft.,shot - 3,1,Mid Range,0,21,21,0
240.0,Unknown,2000-01,2000-11-12,0,MANU vs. HOU,"42.982923, -71.446094",1.0,276.0,47,Center(C),Unknown,shot - 3,2,Penalty Spot,0,4,4,1
274.0,Manchester United,2000-01,2000-11-12,0,MANU vs. HOU,"42.982923, -71.446094",155.0,-8.0,35,Right Side(R),8-16 ft.,shot - 3,3,Mid Range,8,38,518,1
307.0,Manchester United,2000-01,2000-11-12,0,MANU vs. HOU,"42.982923, -71.446094",-155.0,13.0,35,Left Side(L),8-16 ft.,shot - 3,3,Mid Range,5,18,318,1
317.0,Manchester United,2000-01,2000-11-12,0,Unknown,"42.982923, -71.446094",-178.0,-8.0,37,Left Side(L),16-24 ft.,shot - 12,3,Mid Range,3,51,231,0
320.0,Manchester United,2000-01,2000-11-12,0,MANU vs. HOU,"42.982923, -71.446094",16.0,89.0,29,Center(C),8-16 ft.,shot - 21,3,Goal Line,3,40,220,0
322.0,Manchester United,2000-01,2000-11-12,0,MANU vs. HOU,"42.982923, -71.446094",-48.0,106.0,31,Center(C),8-16 ft.,shot - 3,3,Goal Line,3,33,213,1
381.0,Manchester United,2000-01,2000-11-12,0,MANU vs. HOU,"42.982923, -71.446094",9.0,40.0,24,Center(C),Less Than 8 ft.,shot - 3,4,Goal Line,10,52,652,0
444.0,Manchester United,2000-01,2000-11-12,0,MANU vs. HOU,"42.982923, -71.446094",9.0,59.0,25,Center(C),Less Than 8 ft.,shot - 17,4,Goal Line,4,57,297,0
,Manchester United,2000-01,2000-11-12,0,MANU vs. HOU,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 1,4,Goal Area,3,28,208,1
34.0,Manchester United,2000-01,2000-11-14,0,MANU vs. DEN,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 4,1,Goal Area,7,43,463,0
77.0,Manchester United,2000-01,2000-11-14,0,Unknown,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 1,1,Goal Area,3,8,188,1
86.0,Manchester United,2000-01,2000-11-14,0,MANU vs. DEN,"42.982923, -71.446094",129.0,-4.0,32,Right Side(R),8-16 ft.,shot - 3,1,Mid Range,2,25,145,1
93.0,Manchester United,2000-01,2000-11-14,0,MANU vs. DEN,"42.982923, -71.446094",-98.0,97.0,33,Left Side(L),8-16 ft.,shot - 0,1,Mid Range,0,48,48,1
108.0,Manchester United,2000-01,2000-11-14,0,MANU vs. DEN,"42.982923, -71.446094",167.0,78.0,38,Right Side(R),16-24 ft.,shot - 11,2,Mid Range,11,16,676,0
118.0,Manchester United,2000-01,2000-11-14,0,MANU vs. DEN,"42.982923, -71.446094",108.0,249.0,47,Right Side Center(RC),24+ ft.,shot - 3,2,Penalty Spot,10,19,619,0
129.0,Manchester United,2000-01,2000-11-14,0,MANU vs. DEN,"42.982923, -71.446094",100.0,175.0,40,Right Side Center(RC),16-24 ft.,shot - 3,2,Mid Range,9,7,547,1
243.0,Manchester United,2000-01,2000-11-14,0,MANU vs. DEN,"42.982923, -71.446094",115.0,169.0,40,Right Side Center(RC),16-24 ft.,shot - 3,3,Mid Range,10,23,623,0
303.0,Manchester United,2000-01,2000-11-14,0,MANU vs. DEN,"42.982923, -71.446094",1.0,72.0,27,Center(C),Less Than 8 ft.,shot - 3,3,Goal Line,5,23,323,0
352.0,Manchester United,2000-01,2000-11-14,0,MANU vs. DEN,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 32,3,Goal Area,0,37,37,1
368.0,Manchester United,2000-01,2000-11-14,0,MANU vs. DEN,"42.982923, -71.446094",0.0,0.0,20,Center(C),Unknown,shot - 4,4,Goal Area,10,28,628,1
371.0,Manchester United,2000-01,2000-11-14,0,MANU vs. DEN,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 12,4,Goal Area,10,11,611,1
416.0,Manchester United,2000-01,2000-11-14,0,MANU vs. DEN,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 39,4,Goal Area,5,37,337,0
2.0,Manchester United,2000-01,2000-11-16,0,MANU @ SAC,"38.567296, -121.456638",98.0,194.0,41,Right Side Center(RC),16-24 ft.,shot - 54,1,Mid Range,11,42,702,1
31.0,Manchester United,2000-01,2000-11-16,0,MANU @ SAC,"38.567296, -121.456638",70.0,36.0,27,Center(C),Less Than 8 ft.,shot - 3,1,Goal Line,8,16,496,0
70.0,Manchester United,2000-01,2000-11-16,0,MANU @ SAC,"38.567296, -121.456638",-37.0,42.0,25,Unknown,Less Than 8 ft.,shot - 12,1,Goal Line,2,47,167,1
150.0,Manchester United,2000-01,2000-11-16,0,MANU @ SAC,"38.567296, -121.456638",169.0,-2.0,36,Right Side(R),16-24 ft.,shot - 3,2,Mid Range,6,27,387,1
200.0,Manchester United,2000-01,2000-11-16,0,MANU @ SAC,"38.567296, -121.456638",91.0,156.0,38,Unknown,16-24 ft.,shot - 3,2,Mid Range,0,52,52,0
240.0,Manchester United,2000-01,2000-11-16,0,MANU @ SAC,"38.567296, -121.456638",11.0,137.0,33,Center(C),Unknown,shot - 3,3,Goal Line,8,52,532,0
304.0,Manchester United,2000-01,2000-11-16,0,MANU @ SAC,"38.567296, -121.456638",199.0,13.0,39,Right Side(R),16-24 ft.,shot - 36,3,Mid Range,2,55,175,0
,Manchester United,2000-01,2000-11-16,0,MANU @ SAC,"38.567296, -121.456638",-103.0,230.0,45,Left Side Center(LC),Unknown,shot - 3,4,Penalty Spot,5,43,343,0
437.0,Manchester United,2000-01,2000-11-16,0,MANU @ SAC,"38.567296, -121.456638",-31.0,247.0,44,Unknown,24+ ft.,shot - 24,4,Penalty Spot,0,2,2,1
478.0,Manchester United,2000-01,2000-11-16,0,MANU @ SAC,"38.567296, -121.456638",-10.0,99.0,29,Center(C),8-16 ft.,shot - 46,5,Goal Line,2,5,125,1
25.0,Manchester United,2000-01,2000-11-18,0,MANU @ DEN,"39.739968, -104.954013",188.0,177.0,45,Right Side Center(RC),24+ ft.,shot - 3,1,Unknown,9,7,547,0
,Manchester United,2000-01,2000-11-18,0,MANU @ DEN,"39.739968, -104.954013",-128.0,137.0,38,Left Side Center(LC),16-24 ft.,shot - 3,1,Mid Range,4,22,262,0
73.0,Unknown,2000-01,2000-11-18,0,MANU @ DEN,"39.739968, -104.954013",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 1,1,Goal Area,4,9,249,1
112.0,Manchester United,2000-01,2000-11-18,0,MANU @ DEN,"39.739968, -104.954013",1.0,93.0,29,Center(C),8-16 ft.,shot - 3,2,Goal Line,11,19,679,0
158.0,Manchester United,2000-01,2000-11-18,0,MANU @ DEN,"39.739968, -104.954013",115.0,160.0,39,Right Side Center(RC),16-24 ft.,shot - 3,2,Mid Range,6,51,411,1
162.0,Manchester United,2000-01,2000-11-18,0,MANU @ DEN,"39.739968, -104.954013",159.0,200.0,45,Right Side Center(RC),24+ ft.,shot - 53,2,Penalty Spot,6,11,371,1
246.0,Manchester United,2000-01,2000-11-18,0,MANU @ DEN,"39.739968, -104.954013",-162.0,245.0,49,Left Side Center(LC),24+ ft.,shot - 3,3,Penalty Spot,11,17,677,0
285.0,Manchester United,2000-01,2000-11-18,0,Unknown,"39.739968, -104.954013",-4.0,150.0,35,Center(C),8-16 ft.,shot - 3,3,Mid Range,6,24,384,1
350.0,Manchester United,2000-01,2000-11-18,0,MANU @ DEN,"39.739968, -104.954013",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 4,4,Goal Area,11,10,670,0
398.0,Manchester United,2000-01,2000-11-18,0,Unknown,"39.739968, -104.954013",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 24,4,Goal Area,7,10,430,1
448.0,Manchester United,2000-01,2000-11-18,0,MANU @ DEN,"39.739968, -104.954013",37.0,82.0,28,Center(C),8-16 ft.,shot - 3,4,Goal Line,1,18,78,1
450.0,Manchester United,2000-01,2000-11-18,0,MANU @ DEN,"39.739968, -104.954013",-42.0,87.0,29,Unknown,8-16 ft.,shot - 3,4,Goal Line,0,46,46,0
17.0,Manchester United,2000-01,2000-11-19,0,MANU vs. CHI,"42.982923, -71.446094",28.0,247.0,44,Center(C),24+ ft.,shot - 3,1,Penalty Spot,9,3,543,0
114.0,Manchester United,2000-01,2000-11-19,0,MANU vs. CHI,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 39,1,Goal Area,0,13,13,0
166.0,Manchester United,2000-01,2000-11-19,0,MANU vs. CHI,"42.982923, -71.446094",115.0,135.0,37,Right Side Center(RC),16-24 ft.,shot - 54,2,Mid Range,6,3,363,0
224.0,Manchester United,2000-01,2000-11-19,0,MANU vs. CHI,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 1,3,Goal Area,11,24,684,1
276.0,Manchester United,2000-01,2000-11-19,0,MANU vs. CHI,"42.982923, -71.446094",-60.0,97.0,31,Left Side(L),8-16 ft.,shot - 44,3,Goal Line,4,55,295,1
344.0,Manchester United,2000-01,2000-11-19,0,MANU vs. CHI,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 4,4,Goal Area,10,8,608,0
454.0,Manchester United,2000-01,2000-11-19,0,MANU vs. CHI,"42.982923, -71.446094",-208.0,-29.0,41,Left Side(L),16-24 ft.,shot - 45,4,Mid Range,0,31,31,0
10.0,Manchester United,2000-01,2000-11-22,0,MANU vs. GSW,"42.982923, -71.446094",-105.0,148.0,38,Left Side Center(LC),16-24 ft.,shot - 19,1,Mid Range,10,5,605,1
81.0,Manchester United,2000-01,2000-11-22,0,MANU vs. GSW,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 4,1,Goal Area,2,20,140,0
84.0,Manchester United,2000-01,2000-11-22,0,MANU vs. GSW,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 12,1,Goal Area,2,8,128,1
121.0,Manchester United,2000-01,2000-11-22,0,MANU vs. GSW,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 1,2,Goal Area,10,17,617,1
192.0,Manchester United,2000-01,2000-11-22,0,MANU vs. GSW,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 1,2,Goal Area,3,34,214,1
241.0,Manchester United,2000-01,2000-11-22,0,MANU vs. GSW,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 1,3,Goal Area,9,52,592,1
333.0,Manchester United,2000-01,2000-11-22,0,MANU vs. GSW,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 4,3,Goal Area,2,0,120,1
8.0,Unknown,2000-01,2000-11-24,0,MANU vs. MIN,"42.982923, -71.446094",64.0,40.0,27,Center(C),Less Than 8 ft.,shot - 16,1,Unknown,10,33,633,0
45.0,Manchester United,2000-01,2000-11-24,0,MANU vs. MIN,"42.982923, -71.446094",-105.0,-2.0,30,Unknown,8-16 ft.,shot - 44,1,Mid Range,7,33,453,1
60.0,Manchester United,2000-01,2000-11-24,0,MANU vs. MIN,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 4,1,Goal Area,5,52,352,1
,Manchester United,2000-01,2000-11-24,0,MANU vs. MIN,"42.982923, -71.446094",64.0,95.0,31,Right Side(R),8-16 ft.,shot - 30,1,Goal Line,3,56,236,1
276.0,Manchester United,2000-01,2000-11-24,0,MANU vs. MIN,"42.982923, -71.446094",-132.0,154.0,40,Left Side Center(LC),16-24 ft.,shot - 3,3,Unknown,6,24,384,0
315.0,Manchester United,2000-01,2000-11-24,0,MANU vs. MIN,"42.982923, -71.446094",235.0,23.0,43,Right Side(R),24+ ft.,shot - 19,3,Right Corner,2,42,162,0
,Manchester United,2000-01,2000-11-24,0,MANU vs. MIN,"42.982923, -71.446094",28.0,175.0,37,Center(C),16-24 ft.,shot - 3,3,Mid Range,0,21,21,1
356.0,Manchester United,2000-01,2000-11-24,0,MANU vs. MIN,"42.982923, -71.446094",184.0,171.0,45,Right Side Center(RC),24+ ft.,shot - 44,4,Penalty Spot,11,38,698,1
395.0,Manchester United,2000-01,2000-11-24,0,MANU vs. MIN,"42.982923, -71.446094",-84.0,213.0,42,Left Side Center(LC),16-24 ft.,shot - 3,4,Mid Range,7,30,450,1
418.0,Manchester United,2000-01,2000-11-24,0,MANU vs. MIN,"42.982923, -71.446094",-119.0,144.0,38,Unknown,16-24 ft.,shot - 44,4,Mid Range,5,24,324,1
57.0,Manchester United,2000-01,2000-11-27,0,MANU @ LAC,"34.189593, -118.471724",-143.0,219.0,46,Left Side Center(LC),24+ ft.,shot - 3,1,Penalty Spot,5,44,344,1
161.0,Manchester United,2000-01,2000-11-27,0,MANU @ LAC,"34.189593, -118.471724",-6.0,70.0,27,Center(C),Less Than 8 ft.,shot - 44,2,Goal Line,6,35,395,1
218.0,Manchester United,2000-01,2000-11-27,0,MANU @ LAC,"34.189593, -118.471724",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 39,2,Goal Area,1,39,99,1
325.0,Manchester United,2000-01,2000-11-27,0,MANU @ LAC,"34.189593, -118.471724",-56.0,21.0,25,Center(C),Less Than 8 ft.,shot - 55,3,Goal Line,2,15,135,1
370.0,Manchester United,2000-01,2000-11-27,0,Unknown,"34.189593, -118.471724",201.0,11.0,40,Right Side(R),16-24 ft.,shot - 21,4,Mid Range,11,7,667,1
79.0,Manchester United,2000-01,2000-11-28,0,MANU vs. IND,"42.982923, -71.446094",123.0,232.0,46,Right Side Center(RC),24+ ft.,shot - 3,1,Penalty Spot,5,0,300,1
91.0,Manchester United,2000-01,2000-11-28,0,MANU vs. IND,"42.982923, -71.446094",-157.0,137.0,40,Left Side Center(LC),16-24 ft.,shot - 3,1,Mid Range,3,30,210,1
135.0,Manchester United,2000-01,2000-11-28,0,MANU vs. IND,"42.982923, -71.446094",138.0,110.0,37,Right Side Center(RC),16-24 ft.,shot - 3,2,Mid Range,11,8,668,0
166.0,Manchester United,2000-01,2000-11-28,0,MANU vs. IND,"42.982923, -71.446094",102.0,137.0,37,Right Side Center(RC),16-24 ft.,shot - 3,2,Mid Range,8,40,520,0
223.0,Manchester United,2000-01,2000-11-28,0,MANU vs. IND,"42.982923, -71.446094",186.0,17.0,38,Right Side(R),16-24 ft.,shot - 3,2,Mid Range,3,47,227,0
320.0,Manchester United,2000-01,2000-11-28,0,MANU vs. IND,"42.982923, -71.446094",142.0,245.0,48,Right Side Center(RC),24+ ft.,shot - 54,3,Penalty Spot,7,22,442,0
323.0,Manchester United,2000-01,2000-11-28,0,MANU vs. IND,"42.982923, -71.446094",-33.0,70.0,27,Center(C),Less Than 8 ft.,shot - 43,3,Unknown,6,52,412,0
325.0,Manchester United,2000-01,2000-11-28,0,MANU vs. IND,"42.982923, -71.446094",-12.0,42.0,24,Center(C),Less Than 8 ft.,shot - 3,3,Goal Line,6,48,408,0
50.0,Manchester United,2000-01,2000-11-30,0,MANU @ SEA,"47.633181, -122.308343",-101.0,116.0,35,Left Side(L),8-16 ft.,shot - 3,1,Mid Range,7,10,430,0
111.0,Manchester United,2000-01,2000-11-30,0,MANU @ SEA,"47.633181, -122.308343",-50.0,245.0,45,Center(C),24+ ft.,shot - 3,1,Penalty Spot,0,24,24,0
267.0,Manchester United,2000-01,2000-11-30,0,MANU @ SEA,"47.633181, -122.308343",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 12,3,Goal Area,9,37,577,1
294.0,Manchester United,2000-01,2000-11-30,0,MANU @ SEA,"47.633181, -122.308343",0.0,0.0,20,Unknown,Less Than 8 ft.,shot - 12,3,Goal Area,7,2,422,1
24.0,Manchester United,2000-01,2000-12-01,0,MANU vs. SAS,"42.982923, -71.446094",-86.0,253.0,46,Left Side Center(LC),24+ ft.,shot - 46,1,Penalty Spot,9,34,574,0
54.0,Manchester United,2000-01,2000-12-01,0,MANU vs. SAS,"42.982923, -71.446094",-50.0,28.0,25,Center(C),Less Than 8 ft.,shot - 36,1,Goal Line,6,35,395,0
67.0,Manchester United,2000-01,2000-12-01,0,MANU vs. SAS,"42.982923, -71.446094",-79.0,28.0,28,Left Side(L),8-16 ft.,shot - 3,1,Goal Line,4,50,290,0
86.0,Manchester United,2000-01,2000-12-01,0,MANU vs. SAS,"42.982923, -71.446094",18.0,144.0,34,Center(C),8-16 ft.,shot - 51,1,Mid Range,2,33,153,0
96.0,Manchester United,2000-01,2000-12-01,0,MANU vs. SAS,"42.982923, -71.446094",123.0,55.0,33,Right Side(R),8-16 ft.,shot - 3,1,Mid Range,2,0,120,0
112.0,Manchester United,2000-01,2000-12-01,0,MANU vs. SAS,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 4,1,Goal Area,0,7,7,0
197.0,Unknown,2000-01,2000-12-01,0,Unknown,"42.982923, -71.446094",159.0,116.0,39,Right Side Center(RC),16-24 ft.,shot - 44,2,Mid Range,4,14,254,1
310.0,Manchester United,2000-01,2000-12-01,0,MANU vs. SAS,"42.982923, -71.446094",-79.0,133.0,35,Left Side(L),8-16 ft.,shot - 3,3,Goal Line,4,41,281,1
370.0,Manchester United,2000-01,2000-12-01,0,MANU vs. SAS,"42.982923, -71.446094",66.0,154.0,36,Right Side Center(RC),16-24 ft.,shot - 3,3,Mid Range,0,37,37,1
372.0,Manchester United,2000-01,2000-12-01,0,MANU vs. SAS,"42.982923, -71.446094",-86.0,257.0,47,Left Side Center(LC),24+ ft.,shot - 3,3,Penalty Spot,0,0,0,1
376.0,Manchester United,2000-01,2000-12-01,0,MANU vs. SAS,"42.982923, -71.446094",75.0,198.0,41,Right Side Center(RC),16-24 ft.,shot - 3,4,Mid Range,11,42,702,0
386.0,Manchester United,2000-01,2000-12-01,0,MANU vs. SAS,"42.982923, -71.446094",0.0,0.0,20,Center(C),Less Than 8 ft.,shot - 12,4,Goal Area,11,0,660,1
,Manchester United,2000-01,2000-12-01,0,MANU vs. SAS,"42.982923, -71.446094",-58.0,68.0,28,Left Side(L),Unknown,shot - 1,4,Goal Line,9,42,582,1
404.0,Unknown,2000-01,2000-12-01,0,MANU vs. SAS,"42.982923, -71.446094",60.0,61.0,28,Right Side(R),8-16 ft.,shot - 3,4,Goal Line,9,7,547,1
